Company Name,Job Title,Experience Level,Education Level,Skill Level
TechSoft Inc.,QA Testing,0.8,0.7,0.85
TechSoft Inc.,Full Stack,0.9,0.85,0.9
DataTech Solutions,Data Science,0.85,0.8,0.85
DataTech Solutions,DevOps,0.85,0.8,0.9
CloudWorks Ltd.,Mobile App Development,0.8,0.75,0.8
CloudWorks Ltd.,Cybersecurity,0.85,0.8,0.85
CyberSec Innovations,UX Design,0.8,0.75,0.8
CyberSec Innovations,QA Testing,0.8,0.75,0.8
WebTech Solutions,Data Science,0.9,0.85,0.9
WebTech Solutions,DevOps,0.8,0.75,0.8
MobileTech Corporation,Full Stack,0.85,0.8,0.85
MobileTech Corporation,Mobile App Development,0.85,0.8,0.85
DesignCraft Studios,Cybersecurity,0.8,0.75,0.8
DesignCraft Studios,UX Design,0.8,0.75,0.8
QAPro Services,Mobile App Development,0.8,0.75,0.8
QAPro Services,Data Science,0.8,0.75,0.8
AIAnalytics Inc.,DevOps,0.9,0.85,0.9
AIAnalytics Inc.,QA Testing,0.8,0.75,0.8
TechSupport Group,Mobile App Development,0.75,0.7,0.75
TechSupport Group,Data Science,0.85,0.8,0.85
TechSoft Inc.,Mobile App Development,0.8,0.7,0.85
DataTech Solutions,UX Design,0.9,0.85,0.9
CloudWorks Ltd.,Data Science,0.85,0.8,0.85
CyberSec Innovations,DevOps,0.85,0.8,0.9
WebTech Solutions,Cybersecurity,0.8,0.75,0.8
MobileTech Corporation,QA Testing,0.85,0.8,0.85
DesignCraft Studios,Full Stack,0.8,0.75,0.8
QAPro Services,DevOps,0.8,0.75,0.8
AIAnalytics Inc.,Mobile App Development,0.9,0.85,0.9
TechSupport Group,Data Science,0.75,0.7,0.75
TechSoft Inc.,DevOps,0.8,0.7,0.85
DataTech Solutions,Mobile App Development,0.9,0.85,0.9
CloudWorks Ltd.,UX Design,0.85,0.8,0.85
CyberSec Innovations,Data Science,0.85,0.8,0.9
WebTech Solutions,QA Testing,0.8,0.75,0.8
MobileTech Corporation,Full Stack,0.85,0.8,0.85
DesignCraft Studios,Mobile App Development,0.8,0.75,0.8
QAPro Services,Data Science,0.8,0.75,0.8
AIAnalytics Inc.,Cybersecurity,0.9,0.85,0.9
TechSupport Group,UX Design,0.75,0.7,0.75
TechSoft Inc.,Data Science,0.85,0.8,0.85
DataTech Solutions,QA Testing,0.85,0.8,0.9
CloudWorks Ltd.,Full Stack,0.8,0.75,0.8
CyberSec Innovations,DevOps,0.8,0.75,0.8
WebTech Solutions,Mobile App Development,0.9,0.85,0.9
MobileTech Corporation,QA Testing,0.85,0.8,0.85
DesignCraft Studios,Cybersecurity,0.8,0.75,0.8
QAPro Services,UX Design,0.8,0.75,0.8
AIAnalytics Inc.,Full Stack,0.9,0.85,0.9
TechSupport Group,DevOps,0.75,0.7,0.75
